[0.02382939],[0.20517679],[-0.01748117],[0.02706195],[-1.6168737],[0.95357215],[-0.08511886],[0.09745109],[0.14765593]
[0.28452954],[0.18636984],[-0.07131734],[-0.6554192],[-0.524433],[-0.40948173],[-0.06002573],[0.29654172],[0.26934105]
[0.04136767],[-0.08648948],[0.10081237],[0.33256885],[0.3090101],[-0.01205738],[-0.03646516],[0.11346094],[0.0368576]
[-0.00877102],[-0.35279873],[0.08964539],[-0.01977383],[1.0063573],[-1.1170064],[-0.25722075],[0.01229807],[-0.38102257]
[-0.7269344],[-0.38260314],[0.12450204],[0.14219691],[0.0283432],[-0.8179442],[0.02562483],[-0.7591207],[-0.5281157]
[0.24006183],[0.12332924],[0.03668039],[-0.31998357],[-1.3114336],[-0.05058361],[0.29125866],[0.32398182],[0.07772255]
[0.59895986],[-0.4879879],[0.17729327],[-0.04446504],[-0.44094893],[-0.58304703],[0.19230591],[0.57429135],[-0.48832232]
[0.03686558],[0.04553093],[-0.00231185],[-0.04930132],[0.1740313],[-0.03701658],[3.621194],[-0.06180355],[-0.03867461]
[-0.13209897],[-0.19875865],[0.23207462],[0.23585959],[-0.36661005],[0.1157893],[-0.1770517],[-0.2258114],[-0.36071515]
[0.66312844],[0.37943304],[-0.05639381],[0.02204268],[-1.0284127],[0.13509503],[0.07893994],[0.6167781],[0.25499675]
[0.22374897],[-0.3848197],[0.17352946],[0.09941563],[-0.17146565],[1.2101761],[0.04376269],[0.20927331],[-0.5029949]
[-0.59190464],[0.0256351],[0.05984889],[-0.40571657],[-0.8772006],[-0.19295402],[0.0116242],[-0.6082015],[-0.13184667]
[-0.04092562],[0.0474095],[0.03225466],[0.31668591],[0.00858114],[-0.03615331],[-0.0198071],[-0.11342879],[0.01070546]
[-0.5134674],[0.13934968],[0.05869739],[0.06521226],[1.2240888],[-0.22298191],[0.0386498],[-0.605943],[0.07141043]
[-0.5140777],[0.14054915],[-0.05401286],[-0.64868426],[-0.15724528],[0.18606257],[0.01237298],[-0.4957777],[0.25116953]
[-0.06620292],[0.00821489],[0.00308851],[-0.05348669],[0.01665496],[-0.00394796],[0.09671908],[0.0305752],[-0.00099363]
[-0.35747045],[0.22625798],[0.12429716],[-0.01420227],[0.28444955],[0.13994987],[-0.48711643],[-0.35246837],[0.251162]
[0.6464245],[0.29471645],[0.00013398],[0.14794947],[-1.1304059],[-0.7400439],[0.19837853],[0.5782928],[0.22692908]
[-0.04682544],[-0.10366528],[-0.00959614],[-0.1652918],[-0.03015759],[0.00344922],[-3.4537425],[0.0295106],[0.05664603]
[0.28603947],[0.10002964],[-0.01395147],[-0.53396577],[1.0606507],[-0.1663888],[-0.00306606],[0.39711666],[-0.05736444]
