[0.01661169],[0.16467787],[-0.3420759],[-0.24943188],[-0.13619527],[0.05612798]
[0.12095293],[0.44188586],[0.00905577],[0.1484321],[0.00669229],[0.04154638]
[-0.5648155],[-0.29485062],[-0.08480023],[0.03621701],[-0.01832145],[0.21588539]
[-0.43091547],[-0.11451691],[0.10747123],[0.3662109],[-0.23988473],[0.36444527]
[-0.19603217],[0.14830077],[0.08236941],[-0.5998491],[-0.38553107],[0.00305573]
[-0.13825934],[0.46047536],[-0.21699865],[-0.13065594],[-0.2632182],[-0.26804245]
[-0.3657201],[0.46958536],[0.1470884],[0.2315603],[-0.1082565],[-0.08564807]
[0.0766116],[-0.31917754],[-0.28985345],[-0.14086385],[0.26343971],[0.29583007]
[0.12937632],[0.17124645],[0.1826563],[0.46961647],[0.46939802],[0.2405049]
[0.23376545],[-0.41604677],[0.03342777],[-0.24709076],[-0.31794363],[-0.38682744]
[0.17311458],[0.1644496],[-0.16839778],[0.1533074],[0.21215862],[-0.0493352]
[-0.17476532],[0.01728205],[0.22033156],[0.41158095],[-0.5020128],[-0.2247426]
[0.19786169],[0.2997932],[0.33583382],[0.3748126],[0.11936975],[-0.38728064]
[0.04780978],[-0.28184044],[-0.3418731],[0.37212813],[0.31823567],[-0.4323219]
[0.12563393],[-0.04264157],[-0.04176708],[-0.2607453],[0.20549674],[-0.21413092]
[0.135214],[0.16731301],[0.3323919],[0.12187259],[-0.4135641],[-0.2997672]
[0.03762454],[-0.0664],[-0.21466638],[-0.33343294],[0.21623155],[0.12154619]
[-0.25329134],[-0.13850696],[-0.2409796],[0.0069868],[-0.38156536],[-0.34876904]
[-0.04657229],[0.12687534],[-0.10380252],[0.2597632],[-0.2704969],[0.43325332]
[0.32541445],[-0.33642176],[-0.04673799],[0.00630523],[0.10717027],[0.10073785]
[0.0872254],[-0.09483529],[-0.09531354],[0.2174715],[-0.45967084],[-0.35888386]
[-0.11407082],[-0.1102255],[-0.08925782],[-0.4542664],[-0.09885158],[0.17335047]
[-0.32021868],[-0.02719052],[0.32863423],[-0.0058179],[-0.04538699],[-0.0413311]
[0.29100713],[0.26674792],[0.2923046],[0.33030558],[0.59326136],[-0.01977816]
[-0.4957589],[-0.41183156],[0.07626543],[0.03095461],[-0.3333999],[-0.5300713]
[-0.38830578],[-0.33995667],[0.0088861],[0.2798738],[0.20909248],[-0.38868135]
[0.23032641],[-0.27084953],[-0.01875613],[-0.22438021],[-0.09999284],[-0.03368287]
[-0.4617264],[-0.39023176],[0.01108133],[-0.02120909],[-0.2824548],[0.11153496]
[-0.3106376],[0.2268972],[0.16356392],[-0.30886635],[0.41889265],[0.40073305]
[-0.36742073],[0.31850833],[-0.06193972],[-0.25937167],[0.32126558],[-0.26444536]
[-0.06355053],[-0.1216707],[0.30367625],[0.12314309],[0.08744849],[0.1059311]
[-0.17872937],[-0.08945521],[-0.26191568],[0.26988193],[0.23981655],[0.2724768]
[-0.3171782],[0.02045726],[-0.21400565],[-0.23227367],[-0.26754367],[0.14068384]
[-0.291684],[-0.14391884],[0.02820252],[0.30528644],[-0.35642362],[-0.412858]
[-0.2512179],[0.3362097],[-0.09731136],[0.37237385],[0.13002937],[0.10424592]
[0.11460593],[0.1121878],[0.01014847],[-0.2663272],[0.11477496],[0.24379592]
[-0.47235715],[0.18401252],[0.0431552],[-0.44202688],[-0.1849255],[0.79633105]
[0.06620733],[-0.03800132],[-0.26814297],[0.24106479],[-0.3681442],[-0.16431025]
[-0.0072947],[-0.18728551],[0.04755828],[0.4127362],[0.17896764],[0.23503414]
[0.45111266],[-0.18727432],[0.01524759],[-0.41858947],[0.03212838],[0.18752685]
[0.16156839],[0.22242242],[-0.0520274],[-0.01653467],[0.2362714],[-0.47241563]
[0.279063],[-0.5045921],[0.02285095],[-0.14409663],[-0.22655441],[-0.11653793]
[0.33957535],[-0.19899349],[-0.17679074],[-0.10320468],[-0.3960255],[0.10191745]
[-0.2965837],[-0.09429894],[-0.19287756],[0.22767976],[0.11200213],[0.4862546]
[0.11942297],[-0.10182543],[-0.01107778],[0.17220418],[0.30526274],[0.1433058]
[-0.11328507],[-0.10702283],[-0.40874863],[0.0968199],[-0.14890526],[-0.27756435]
[0.4930878],[-0.3514561],[0.01450693],[0.05323461],[0.1511884],[-0.36095217]
[-0.19653952],[0.25151166],[0.07540147],[0.37860757],[-0.00512834],[0.04818569]
[-0.20042683],[-0.08433687],[-0.15268128],[0.1722398],[0.02001939],[-0.07469001]
[0.02627461],[-0.3972835],[0.0397074],[-0.4526991],[0.28302422],[-0.28392208]
[-0.21797168],[0.08052522],[-0.14249662],[0.08789263],[0.05669484],[-0.29257527]
[-0.13175869],[0.36162966],[0.03258483],[-0.11411296],[-0.5308161],[0.1269246]
[0.24848928],[-0.3951796],[0.1256645],[0.28196114],[-0.10329889],[-0.2435583]
[0.16243017],[0.26978055],[0.02907057],[0.03952342],[-0.3229544],[0.26986533]
[0.36013573],[0.43002486],[0.17032185],[0.01128361],[0.2689152],[-0.13140334]
[-0.4234964],[-0.39497173],[0.33761302],[0.3265449],[-0.3678811],[0.11125628]
[0.44505718],[0.58967745],[0.28906682],[0.36541015],[0.04675289],[0.04323409]
[0.426663],[0.2784509],[-0.16823973],[0.39729407],[0.2899499],[0.27228233]
[-0.30065298],[0.1477049],[-0.06786557],[0.3403283],[-0.11986074],[0.18914174]
[0.02403214],[0.24016546],[-0.04094011],[0.22765866],[-0.33044022],[0.15940094]
[-0.23871009],[-0.24958932],[-0.2843767],[0.32408348],[0.25394902],[0.5291783]
[0.3499721],[-0.36824146],[-0.19426683],[-0.06602257],[-0.23693001],[0.27404666]
[-0.25707158],[-0.21574344],[-0.3132137],[-0.23636696],[0.38159284],[0.31293997]
[0.4846961],[0.6249835],[0.06508141],[-0.10324445],[0.3730911],[0.6730527]
