[-0.10318006],[0.24231644],[-0.08108804],[-0.09194899],[-0.45235986],[0.03592379],[-0.01450872],[0.15001683],[0.04452663]
[0.1080622],[0.00490421],[-0.05453015],[-0.35562038],[-0.28625327],[-0.276819],[-0.03045804],[0.14941582],[0.29033294]
[-0.26765874],[-0.20231026],[0.11550315],[0.32433137],[0.19553517],[-0.0569002],[-0.09281325],[-0.01971024],[0.22190678]
[-0.17145179],[-0.07212661],[0.00571066],[-0.0239025],[0.7341487],[-0.18752061],[-0.11298265],[-0.09899129],[-0.169253]
[-0.52618134],[0.0691858],[0.08601489],[0.14397146],[0.01234427],[-0.40109685],[-0.02851498],[-0.63690484],[-0.43133396]
[-0.12151322],[0.24080983],[0.05526708],[-0.1839589],[-0.10634503],[0.1626292],[0.41810247],[0.1671393],[0.08394653]
[0.21098928],[-0.3440404],[0.05027186],[-0.15246528],[-0.2650925],[-0.3644362],[0.20893899],[0.1261049],[-0.34516037]
[0.12873155],[0.15128238],[-0.00369095],[-0.0169263],[0.11590846],[-0.02650992],[0.42162853],[-0.21062922],[-0.13832235]
[0.00821823],[-0.03031755],[0.21460897],[0.31912374],[0.11334363],[-0.19166683],[-0.16846369],[-0.31403714],[-0.5872683]
[0.33410648],[0.24726269],[-0.10801408],[0.03439449],[-0.48099905],[-0.10305641],[-0.04753773],[0.1746881],[-0.18066348]
[0.19653262],[0.05583286],[0.16142344],[0.15934958],[-0.65893435],[0.14742844],[0.19191922],[0.14677684],[-0.35093722]
[-0.35073212],[0.24457505],[0.03094187],[-0.22613248],[-0.47490522],[-0.3950285],[-0.03406399],[-0.4068109],[-0.29706636]
[0.18808861],[0.14419638],[-0.04199091],[0.21038677],[-0.07938918],[0.21231349],[0.08233925],[-0.06125809],[0.01795756]
[-0.11978634],[0.2693523],[0.06311883],[0.06292751],[0.35649854],[-0.16491114],[0.16849217],[-0.4375333],[0.03568818]
[-0.16784623],[-0.08065372],[-0.05205511],[-0.41768062],[-0.04598542],[0.1698866],[-0.13794312],[-0.10488781],[0.29991803]
[-0.15594701],[-0.0280733],[-0.00146768],[-0.00607341],[0.00290929],[0.08090526],[0.3332099],[0.17692591],[-0.05974515]
[-0.343127],[-0.07756226],[0.11603056],[0.05606977],[0.09156539],[-0.02897992],[-0.4180226],[-0.32594076],[0.00824712]
[0.29590583],[0.20304993],[-0.13929088],[0.23759882],[-0.34827274],[-0.12260142],[-0.05110743],[0.06148055],[-0.03010698]
[-0.18083803],[-0.23626474],[-0.00525463],[0.00042909],[0.08801436],[-0.09582964],[-0.3212342],[0.08169379],[0.31510568]
[0.04150423],[0.31873503],[0.02341346],[-0.21334232],[0.629504],[-0.00975429],[-0.03367662],[0.42352712],[-0.22257648]
[-0.11179075],[-0.02772295],[0.35455102],[0.10004263],[-0.1599963],[0.33477178],[-0.02793138],[-0.21226892],[-0.22219104]
[0.22062731],[0.1657861],[0.09824509],[-0.5664397],[-0.08150147],[-0.20516577],[-0.09920514],[-0.13513705],[0.02272238]
[-0.14896049],[0.02013082],[0.03029225],[0.21662778],[-0.3452489],[-0.27840132],[-0.1051216],[0.2609968],[-0.08668865]
[0.3536928],[0.26253596],[0.00993219],[0.03462019],[0.06850349],[0.38087443],[-0.0289322],[0.08462004],[0.1885034]
[-0.43001097],[-0.12081968],[0.18889786],[-0.26518473],[-0.25383413],[0.5710501],[0.12423377],[-0.17359702],[-0.22916354]
[0.15401721],[-0.23203324],[-0.01906357],[-0.11914925],[-0.17422159],[-0.04847747],[0.31376645],[0.03679982],[0.27666923]
[0.37442714],[-0.12826988],[0.09006198],[-0.2742854],[0.15052003],[0.18643515],[0.10691949],[0.41824853],[-0.03010915]
[-0.2056709],[0.15751919],[-0.13329867],[0.239571],[-0.46224758],[-0.26463816],[-0.03547264],[-0.3727952],[0.03646524]
[0.35700223],[-0.23085259],[-0.0240595],[-0.09734887],[-0.49114183],[0.15262519],[-0.08092913],[-0.11572935],[-0.32063025]
[0.15836559],[0.30076832],[0.2093016],[0.1004777],[-0.7874381],[-0.4336683],[0.04855768],[0.2365247],[0.21924832]
[-0.2392113],[-0.0764094],[-0.3064824],[0.08165507],[0.01114291],[-0.2999206],[0.14972231],[-0.29497638],[0.03631226]
[0.21406235],[0.06084905],[-0.08706168],[-0.2572285],[0.40509],[0.15765063],[0.23303457],[0.01737213],[0.14395607]
[-0.09787028],[0.23450634],[-0.03763268],[0.01787482],[0.09049892],[-0.16112617],[-0.02468575],[-0.2205386],[0.4673517]
[-0.19902359],[-0.029156],[-0.0412857],[-0.2766542],[0.24826814],[-0.34633216],[0.03679951],[0.09861105],[-0.3936544]
[0.10034455],[0.25711364],[0.0431595],[0.0096451],[-0.35747224],[-0.3824264],[0.16699736],[-0.06776144],[0.24245514]
[0.21872096],[-0.05038766],[0.01154669],[0.21575795],[-0.00097707],[-0.09683948],[-0.02168542],[-0.24067073],[0.13965999]
[0.1911121],[0.19926928],[0.26644635],[0.01464572],[0.11787409],[-0.31887597],[-0.2654375],[-0.30000097],[0.2298001]
[0.29369506],[-0.49894682],[0.11002896],[0.15187605],[-0.01882112],[0.64629227],[0.29011694],[0.02033781],[-0.39128694]
[0.044117],[0.02883236],[-0.15657859],[0.19140457],[0.08073384],[0.32208928],[-0.22061113],[-0.12486383],[-0.25934768]
[0.39610207],[0.07335079],[0.04780932],[0.0382906],[-0.25689492],[-0.22620493],[0.2581138],[-0.07205459],[0.20172773]
[-0.13855293],[-0.27617982],[-0.17397639],[0.25458276],[0.26245907],[0.4528119],[0.28183302],[-0.20702553],[-0.17996716]
[0.01566409],[-0.21269748],[0.08349604],[-0.5509456],[-0.33531],[-0.07260465],[-0.09586519],[0.3269743],[0.25177768]
[0.28249875],[0.37151158],[0.10303213],[0.04239048],[0.5203925],[0.7504395],[0.04037268],[0.37229314],[0.29132402]
[0.25024945],[-0.16514719],[0.20297228],[-0.04726152],[-0.05432415],[-0.0297077],[-0.20477839],[-0.18984963],[0.15795787]
[0.3152932],[-0.1509855],[-0.12592836],[0.16535658],[0.22391945],[-0.02003267],[-0.10911679],[0.3811354],[0.01439474]
[-0.24844927],[0.32537383],[0.1606948],[-0.19607241],[0.13843484],[-0.06641731],[-0.22151497],[0.26032937],[0.03566827]
[-0.29894343],[-0.0796176],[-0.01466181],[0.01480972],[0.05264511],[0.435793],[-0.01328573],[-0.2705449],[0.04233443]
[0.18620978],[0.17968944],[-0.09088013],[-0.00848944],[-0.33107907],[-0.41936034],[0.049039],[-0.1901323],[0.1403642]
[0.21979605],[-0.12263366],[-0.1115419],[-0.02880257],[-0.0622792],[-0.02268358],[0.0776891],[-0.33593255],[-0.44750565]
[-0.2954437],[-0.23308294],[0.08154071],[-0.33600748],[0.6081879],[-0.40007907],[0.02171322],[0.0263797],[-0.45417356]
[0.5548606],[0.31030038],[0.1819356],[0.1683913],[-0.6787566],[0.0275066],[-0.05910295],[0.44252145],[-0.1137151]
[-0.1500111],[-0.3468403],[-0.03860095],[0.02364988],[-0.36694047],[0.03192949],[0.07657528],[-0.01494523],[-0.24789703]
[-0.07115794],[-0.1620707],[0.10021164],[0.38199213],[0.392967],[-0.05212466],[-0.0498553],[-0.1362463],[-0.3346715]
[0.01434246],[-0.22496076],[0.1220731],[-0.19807036],[-0.47351453],[-0.38487032],[0.20845172],[-0.16550975],[0.19770405]
[0.16067787],[0.28265262],[0.03015568],[-0.02298531],[-0.01817621],[0.3821234],[0.16350898],[-0.2567442],[0.3731118]
[-0.0432565],[-0.22212808],[-0.07380852],[0.34648332],[0.08555291],[-0.21724351],[0.10711788],[0.14968638],[0.23021425]
[0.47320637],[-0.4299762],[0.08270164],[0.1167265],[0.2791561],[-0.278754],[-0.03171032],[0.40099475],[-0.3472529]
[-0.19491215],[0.18760616],[0.02321732],[-0.3340033],[-0.06408497],[0.43193093],[-0.02598511],[0.01930252],[0.03166112]
[0.07482499],[-0.28294057],[-0.0554693],[-0.20334202],[0.15977366],[0.00520283],[0.00582686],[-0.18933378],[0.26203147]
[0.15393575],[-0.13844764],[-0.20968996],[-0.11863343],[0.1136383],[-0.02417264],[-0.22216085],[-0.26850268],[0.15991841]
[-0.18020399],[0.0024405],[-0.01448743],[-0.1349896],[0.17180496],[0.15798175],[-0.24821457],[-0.00022143],[-0.18431993]
[0.25269496],[-0.30009958],[-0.14023787],[0.3975605],[-0.21623103],[0.28942797],[0.04604243],[-0.12438548],[-0.07060598]
[0.16685928],[-0.16837187],[-0.20546815],[-0.05884875],[-0.42046338],[0.39240238],[-0.13291746],[0.26413828],[-0.2539564]
[-0.19927941],[0.59041935],[0.13347968],[0.30186328],[0.11007749],[-0.08982255],[-0.09671255],[-0.16601022],[0.60434806]
